facility_name,status,open,hours_of_operation,accessibility,restroom_type,changing_stations,additional_notes,website,latitude,longitude,location_1
"Kingsbridge Library, NYPL",1,Year Round,"Sunday: Closed 
Monday: 10:00 am - 7:00 pm 
Tuesday: 10:00 pm - 7:00 pm 
Wednesday: 10:00 am - 7:00 pm 
Thursday: 10:00 pm - 7:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.nypl.org/locations/kingsbridge,40.880708,-73.907707,POINT (-73.907707 40.880708)
Seward Park,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.714723,-73.989061,POINT (-73.989061 40.714723)
Corona Golf Playground,1,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,NA,,,40.747759,-73.854036,POINT (-73.854036 40.747759)
Riverbend Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.871911,-73.905983,POINT (-73.905983 40.871911)
Arcilla Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.827172,-73.914585,POINT (-73.914585 40.827172)
Squibb Park,1,Year Round,"8am-4pm, Open later seasonally",NA,NA,NA,,,40.701061,-73.995386,POINT (-73.995386 40.701061)
Northwest Reservoir,1,Year Round,7am - dusk,Not Accessible,Multi-Stall W/M Restrooms,NA,,,40.789439,-73.961894,POINT (-73.961894 40.789439)
Madison Square Park APT,1,Year Round,8am-8pm,Fully Accessible,Single-Stall All Gender Restroom(s),No,This unit costs $.25 to use.,https://portal.311.nyc.gov/article/?kanumber=KA-02226,40.741309,-73.987845,POINT (-73.987845 40.741309)
Lily Brown Playground,1,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,NA,,,40.838909,-73.946009,POINT (-73.946009 40.838909)
Mill Pond Park,1,Year Round,"8am-4pm, Open later seasonally",NA,NA,NA,,,40.824452,-73.931499,POINT (-73.931499 40.824452)
Rufus King Park,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.703339,-73.803382,POINT (-73.803382 40.703339)
"Washington Irving Library, BPL",1,Year Round,,Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.bklynlibrary.org/locations/washington-irving,40.697503,-73.912202,POINT (-73.912202 40.697503)
River Run Playground,1,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,NA,,,40.78733,-73.982087,POINT (-73.982087 40.78733)
"Paerdegat Library, BPL",1,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Yes,,https://www.bklynlibrary.org/locations/paerdegat,40.632645,-73.919986,POINT (-73.919986 40.632645)
"Ravenswood Library, QPL",1,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: Closed 
Saturday: Closed",NA,Single-Stall All Gender Restroom(s),No,"Yes, a key is needed to enter",https://www.queenslibrary.org/about-us/locations/ravenswood,40.760688,-73.936405,POINT (-73.936405 40.760688)
"Dyker Library, BPL",1,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.bklynlibrary.org/locations/dyker,40.616316,-74.01199,POINT (-74.01199 40.616316)
Sarsfield Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.620341,-73.93718,POINT (-73.93718 40.620341)
153 East 53rd Street POPS,1,Year Round,Everyday 7:00am-11:00pm,Fully Accessible,Multi-Stall W/M Restrooms,Yes,,,40.758406,-73.970038,POINT (-73.970038 40.758406)
Paerdegat Basin Marina 1,1,Year Round,Concession Operating Hours,NA,NA,NA,,,40.624409,-73.903769,POINT (-73.903769 40.624409)
Whitestone Playground,1,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,NA,,,40.791879,-73.808312,POINT (-73.808312 40.791879)
Terrace Playground,1,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,NA,,,40.613556,-74.098282,POINT (-74.098282 40.613556)
Cunningham Gas Station,1,Year Round,Concession Operating Hours,NA,NA,NA,,,40.725062,-73.771671,POINT (-73.771671 40.725062)
The High Line Zone 1,1,Year Round,,NA,NA,NA,,,40.739488,-74.008228,POINT (-74.008228 40.739488)
Raymond Bush Playground,1,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,NA,,,40.686595,-73.939377,POINT (-73.939377 40.686595)
Meadow Lake Northeast,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.735856,-73.838481,POINT (-73.838481 40.735856)
Astoria Heights Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,NA,,,40.761021,-73.911315,POINT (-73.911315 40.761021)
Grand Central Parkway Gas,1,Year Round,Concession Operating Hours,NA,NA,NA,,,40.767711,-73.865189,POINT (-73.865189 40.767711)
St. Andrew's Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.678808,-73.942012,POINT (-73.942012 40.678808)
"Astoria Library, QPL",1,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",NA,Single-Stall All Gender Restroom(s),Yes,"Yes, a key is needed to enter",https://www.queenslibrary.org/about-us/locations/astoria,40.772384,-73.928743,POINT (-73.928743 40.772384)
Captain Rivera Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.817949,-73.906798,POINT (-73.906798 40.817949)
"Cambria Heights Library, QPL",1,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",NA,Single-Stall All Gender Restroom(s),Yes,"Yes, a key is needed to enter",https://www.queenslibrary.org/about-us/locations/cambria-heights,40.695731,-73.741164,POINT (-73.741164 40.695731)
